1,Adler,,Five Early American Tunes for String Orchestra,String,N,N/A,N/A,,Notes:  Scanned:  Issues: not there
2,Adler,,Concertino for String Orchestra,String,4,N/A,N/A,,Notes: (play all) Scanned: Y Issues: not there
3,Daal'Abaco,,"4 Concerti Da Chiesa (nos. 4, 5, 8, 9?)",String,N,N/A,N/A,,"Notes: 1, 2 cont. mvts., Scores Only Scanned: y Issues: "
4,Albinoni,Polnauer,Three Balletti for Strings,String,N,N/A,N/A,,Notes:  Scanned: y Issues: 
5,Anderson,,The Beauty Within/Stormy Night,Other,N,N/A,N/A,,Notes:  Scanned: y Issues: 
6,Anderson,,Suite of Carols,String,N,N/A,N/A,,Notes:  Scanned: y Issues: 
7,Ariosti,Clark,Overture (from Vespasian),String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
8,Atwell,,Drifen,String,4,N/A,N/A,,Notes:  Scanned: y Issues: 
9,Atwell,,Stasis,String,N,N/A,N/A,,Notes:  Scanned: y Issues: 
10,Atwell,,Canon in B Muse,String,N,N/A,N/A,,Notes:  Scanned: y Issues: 
11,Auton,,Folk Songs for Strings (English),String,?,N/A,N/A,,Notes:  Scanned:  Issues: 
12,Bach,,Sinfonia #3 in C,String,1,N/A,N/A,,Notes:  Scanned: y Issues: 
13,Bach,,Sinfonia #5,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
14,JC Bach,Dackow,Sinfonia in D Major,String,2,N/A,N/A,,Notes: No score Scanned:  Issues: 
15,Bach,,3 London Sinfonias,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
16,Bach,,Double Concerto,String,1,N/A,N/A,,Notes:  Scanned:  Issues: 
17,Bach,Jasinski,Brandenburg #4 3rd Movement,String,4,N/A,N/A,,Notes: Performed UIL 2011 Scanned:  Issues: 
18,Bach,,Concerto in D Major,Other,3,N/A,Y,,Notes: No Piano Scanned:  Issues: 
19,Bach,Ormandy,Three Choral Preludes,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
20,Bach,, Brandenburg Concerto #5,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
21,Bach,Del Borgo,"Jesu, Joy of Man's Desiring",String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
22,Bach,Jasinski,Brandenburg #4 3rd Movement,String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
23,Bach,Leidig,Bach Suite for String Orchestra,String,1 or 2,N/A,N/A,,"Notes: Minuet, March & Gavotte Scanned:  Issues: "
24,Bach,Issac,Concerto #3,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
25,Bach,,Brandenburg Concerto #3 (Unabridged),String,3,N/A,N/A,,"Notes: No Score
 Scanned:  Issues: "
26,Bach,Grant,Fugue in g minor (organ),String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
27,Bach,,Brandenburg #3,String,N,N/A,N/A,,"Notes: No Parts
 Scanned:  Issues: "
28,Bach,,Passacaglia and Fugue in c minor,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
29,Bach,Leidig,Brandenburg #3 third movement,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
30,Bach,Stokowski,Prelude in B minor,String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
31,Badolt,Rickets,Pirates of Caribbean,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
32,Baker,Monday,For the Star of County Down,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
33,Barsanti,,Overture op. 4 no. 2,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
34,Barber,,Adagio for Strings,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
35,Bartok,Willner,Rumanian Folk Dances,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
36,Bell,,Rondo Festivo,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
37,Beethoven,,Two Minuets,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
38,Beethoven,Hopkin,Symphony #5,String,3,N/A,N/A,,Notes:  Scanned:  Issues: 
39,Bartok,Willner,Rumanian Folk dances,Both,4 or 5,N/A,N/A,,"Notes: 3 mvmts, all mvmts Scanned:  Issues: "
40,Berger,,Suite for strings,String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
41,Berger,,Short overture for strings,String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
42,Biber,,Battalia,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
43,Bizet,MaCoshin,Carillon from L'Arlesienne Suite #1,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
44,Bizet,,Adagietto from L'Arlesienne #1,String,4,N/A,N/A,,Notes: arr. Dasch(?) Scanned:  Issues: 
45,Bizet,Centuri,Intermezzo from L'Arlesienne Suite #2,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
46,Bloch,,"Prayer, from Jewish Life, no. 1",Other,N,N/A,N/A,,Notes:  Scanned:  Issues: 
47,Bloch,,Concerto Grosso,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
48,Bloch,,Concerto Grosso,Other,5,N/A,N/A,,Notes:  Scanned:  Issues: 
49,Bowen,,8 Masterworks,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
50,Boyce,,Suite for Strings,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
