Number,Composer/Arranger,Title,Full or String,UIL Rating,Notes,Scanned?,Issues?
1,Adler,Five Early American Tunes for String Orchestra,S,N,,,not there
2,Adler,Concertino for String Orchestra,S,4,(play all),Y,not there
3,Daal'Abaco,"4 Concerti Da Chiesa (nos. 4, 5, 8, 9?)",S,N,"1, 2 cont. mvts., Scores Only",y,
4,Albinoni/Polnauer,Three Balletti for Strings,S,N,,y,
5,Anderson,The Beauty Within/Stormy Night,S/Perc/Timp/Hp,N,,y,
6,Anderson,Suite of Carols,S,N,,y,
7,Ariosti/Clark,Overture (from Vespasian),S,4,,,
8,Atwell,Drifen,S,4,,y,
9,Atwell,Stasis,S,N,,y,
10,Atwell,Canon in B Muse,S,N,,y,
11,Auton,Folk Songs for Strings (English),S,?,,,
12,Bach,Sinfonia #3 in C,S,1,,y,
13,Bach,Sinfonia #5,S,N,,,
14,JC Bach/Dackow,Sinfonia in D Major,S,2,No score,,
15,Bach,3 London Sinfonias,S,N,,,
16,Bach,Double Concerto,S,1,,,
17,Bach/Jasinski,Brandenburg #4 3rd Movement,S,4,Performed UIL 2011,,
18,Bach,Concerto in D Major,S/Piano,3,No Piano,,
19,Bach/Ormandy,Three Choral Preludes,S,5,,,
20,Bach, Brandenburg Concerto #5,S,N,,,
21,Bach/Del Borgo,"Jesu, Joy of Man's Desiring",S,N,,,
22,Bach/Jasinski,Brandenburg #4 3rd Movement,S,4,,,
23,Bach/Leidig,Bach Suite for String Orchestra,S,1 or 2,"Minuet, March & Gavotte",,
24,Bach/Issac,Concerto #3,S,3,,,
25,Bach,Brandenburg Concerto #3 (Unabridged),S,3,"No Score
",,
26,Bach/Grant,Fugue in g minor (organ),S,4,,,
27,Bach,Brandenburg #3,S,N,"No Parts
",,
28,Bach,Passacaglia and Fugue in c minor,S,5,,,
29,Bach/Leidig,Brandenburg #3 third movement,S,N,,,
30,Bach/Stokowski,Prelude in B minor,S,4,,,
31,Badolt/Rickets,Pirates of Caribbean,S,N,,,
32,Baker/Monday,For the Star of County Down,S,N,,,
33,Barsanti,Overture op. 4 no. 2,string,5,,,
34,Barber,Adagio for Strings,S,5,,,
35,Bartok/Willner,Rumanian Folk Dances,S,5,,,
36,Bell,Rondo Festivo,S,3,,,
37,Beethoven,Two Minuets,S,N,,,
38,Beethoven/Hopkin,Symphony #5,S,3,,,
39,Bartok/Willner,Rumanian Folk dances,S or F,4 or 5,"3 mvmts, all mvmts",,
40,Berger,Suite for strings,string,4,,,
41,Berger,Short overture for strings,string,4,,,
42,Biber,Battalia,S,N,,,
43,Bizet/MaCoshin,Carillon from L'Arlesienne Suite #1,S,N,,,
44,Bizet,Adagietto from L'Arlesienne #1,S,4,arr. Dasch(?),,
45,Bizet/Centuri,Intermezzo from L'Arlesienne Suite #2,S,N,,,
46,Bloch,"Prayer, from Jewish Life, no. 1","Solo Cello, S",N,,,
47,Bloch,Concerto Grosso,S,5,,,
48,Bloch,Concerto Grosso,S/P,5,,,
49,Bowen,8 Masterworks,S,N,,,
50,Boyce,Suite for Strings,S,N,,,
51,Boyce/Folus,Symphony #1,S,N,,,
52,Brahms,"Es ist ein ros entsprugen (Low, How a Rose E'er Blooming)",S,N,,,
53,Brown,Christmas Fugue (we wish you a merry christmas),,N,Holiday,,
54,Burswald,Dance,string,N,Solo Vln & String,,
55,Byrd,thee leavees be greene,S/Voice,,,,
56,Casals,Song of the Birds,Solo Cello/S,N,,,
57,Corelli,Concerto Grosso op. 6 no. 1,,N,,,
58,Corelli/Sopkin,La Folia,S or F,,,,
59,Corelli/Zimmerman,Suite in F,S,N,,,
60,Corelli,Concerto Grosso op. 6 no. 4,S,N,,,
61,Copland,Hoedown from Rodeo,S,5,,,
62,Copland/Moss,Old American Folk Songs,S,N,,,
63,Corigliano,Voyage,S,5,,,
64,Daniels,Prelude and dance,S,1,,,
65,Creston,Gregorian Chant,S,5,,,
66,Debussy,Andantino from String Quartet,S,N,Hard Keys,,
67,Del Borgo,Dance Scenario,S,2,,,
68,Cacauas,Montage for Strings,S,N,,,
69,Del Borgo,Clog Dance,S,1,,,
70,Del Borgo,Dance Scenario,S,2,,,
71,Del Borgo,Greensleeves Variant,S,N,,,
72,Del Borgo,Petite Overture,S,2,,,
73,Del Borgo,Sonatine,S,1,,,
74,Del Borgo,Korean Folk Song Variants,S,N,,,
75,Dello Joio,Air for strings,S,N,,,
76,Dello Joio,Choreography ,string,5,,,
77,Dvorak,Serenade for strings,string,5,Performed UIL 2011,,
78,Dvorak,Notturano,string,N,,,
79,Dvorak,Two Waltzes ,string,N,,,
80,Elfmar,Selections from Corpse Bride,string or full,N,,,
81,Elgar,"Elegy, op. 58",string,N,,,
82,Elgar/Bender,Nimrod,string,4,,,
83,Elgar,Pomp and Circumstance,Full,2,,,
84,Elgar,Sospiri op. 70,strings,5,,,
85,Elgar,Serenade for strings,,5,,,
86,England,Variations on an english pastoral theme,,N,,,
87,Errante,Songs of early america,,N,,,
88,Feese,Contrasts in e minor,string,3,,,
89,Coleman,Adieu,S,N,,,
90,Fishburn,Celtic Suite,string,2,,,
91,Feese,Colorado Suite,string,2,,,
92,Feese/Newport,Festival,string,N,,,
93,Fine,"Riu Riu Chiu, trad 15th c. Spanish Carol",string,3,,,
94,Fletcher,Folk Tune and fiddle dance,string,3 or 4,No Score - missing 2nd vln,,
95,Fletcher,Semiquaver Serenade,string,N,,,
96,Fletcher,Serenade for Violas,string,N,,,
97,Franck/Holcombre,Panis Angelicus,string,2 or 3,,,
98,Frescobaldi/Higgins,Toccata,string,1,,,
99,Frost,Petite Rondo,string,N,,,
100,Frost,Hornpipe,string,2,,,
101,Geminiani,"Concerto Grosso op. 3, #2",,3,,,
102,Gershwin/Cerulli,Summertime from Porgy and Bess,string,N,,,
103,Grainger/Dackow,Shepherd's Hey,string,N,,,
104,Graves,Passacaglia and fugue,string,N,,,
105,Gluck,Minuet from Orfeo,string,N,,,
106,Galuppi,Concerto in D for 2 flutes/strings,string,N,,,
107,Grant,The Scarlet Sarafan,string,2,,,
108,Grainger,Irish Ture from County Derry,string,N,,,
109,Grainger/Dackow,Mock Morris ,string,4,,,
110,Grainger/Alshin,Shepherd's Hey,string,3,,,
111,Grier,A Skeleton in the Closet,string,N,Halloween,,
112,Grieg,Holberg suite,String,5,,,
113,Grieg/Frost,Hall of the mountain king,String,4,,,
114,Handel,Converto Grosso op 6 n.1,,N,,,
115,Handel/Fishburn,"Concerto #24, 2 violins and strings",string,N,,,
116,Handel/Douglas,Finale from the water Music,winds,N,,,
117,Handel,water music suite,,2 or 3,,,
118,Handel,2 minuets from royal fireworks,strings,N,,,
119,Hanson,Rythmic variations on two ancient hymns,string,5,,,
120,Hare,three tunes from shakespeare's England,string,N,,,
121,Hart,Masters in this hall - carol,string,N,,,
122,Haydn/Dackow,Syphony #38 in C,string,N,,,
123,Haydn,minuet,string,2 or 3,depends on arrangement,,
124,Heinechen,Sinfonia in D,string,3,,,
125,Hellem,Three spanish xmas carols,,N,,,
126,Hindemith,Five pieces for string orch,string,N,,,
127,Hofeldt,Sunward Overture,string,3,,,
128,Holst,Brook green suite,,4,play mvts 1 & 2 or mvt 3,,
